ID,MI_dir_L5_weight,MI_dir_L5_mean,MI_dir_L5_variance,MI_dir_L3_weight,MI_dir_L3_mean,MI_dir_L3_variance,MI_dir_L1_weight,MI_dir_L1_mean,MI_dir_L1_variance,MI_dir_L0.1_weight,MI_dir_L0.1_mean,MI_dir_L0.1_variance,MI_dir_L0.01_weight,MI_dir_L0.01_mean,MI_dir_L0.01_variance,H_L5_weight,H_L5_mean,H_L5_variance,H_L3_weight,H_L3_mean,H_L3_variance,H_L1_weight,H_L1_mean,H_L1_variance,H_L0.1_weight,H_L0.1_mean,H_L0.1_variance,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L5_weight,HH_L5_mean,HH_L5_std,HH_L5_magnitude,HH_L5_radius,HH_L5_covariance,HH_L5_pcc,HH_L3_weight,HH_L3_mean,HH_L3_std,HH_L3_magnitude,HH_L3_radius,HH_L3_covariance,HH_L3_pcc,HH_L1_weight,HH_L1_mean,HH_L1_std,HH_L1_magnitude,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_weight,HH_L0.1_mean,HH_L0.1_std,HH_L0.1_magnitude,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_weight,HH_L0.01_mean,HH_L0.01_std,HH_L0.01_magnitude,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L5_weight,HH_jit_L5_mean,HH_jit_L5_variance,HH_jit_L3_weight,HH_jit_L3_mean,HH_jit_L3_variance,HH_jit_L1_weight,HH_jit_L1_mean,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_mean,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L5_weight,HpHp_L5_mean,HpHp_L5_std,HpHp_L5_magnitude,HpHp_L5_radius,HpHp_L5_covariance,HpHp_L5_pcc,HpHp_L3_weight,HpHp_L3_mean,HpHp_L3_std,HpHp_L3_magnitude,HpHp_L3_radius,HpHp_L3_covariance,HpHp_L3_pcc,HpHp_L1_weight,HpHp_L1_mean,HpHp_L1_std,HpHp_L1_magnitude,HpHp_L1_radius,HpHp_L1_covariance,HpHp_L1_pcc,HpHp_L0.1_weight,HpHp_L0.1_mean,HpHp_L0.1_std,HpHp_L0.1_magnitude,HpHp_L0.1_radius,HpHp_L0.1_covariance,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_mean,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc,label
44025,1.000000076,60.00000321,0.000134801,1.000102212,60.00429248,0.18026588,1.136716927,65.0514785,186.6443337,5.169054055,92.67370514,295.5440673,32.27011489,91.89366567,300.7053984,1.000000076,60.00000321,0.000134801,1.000102212,60.00429248,0.18026588,1.136716927,65.0514785,186.6443337,5.169054055,92.67370514,295.5440673,32.27011489,91.89366567,300.7053984,1,60,0,84.85281374,0,4.23E-79,0,1,60,0,84.85281374,0,1.74E-46,0,1.000002455,60.00009331,0.059545324,84.85294773,0.005092267,8.85E-09,2.46E-06,1.430280962,68.29464872,15.69698869,96.59714215,348.7537402,63.82329488,0.258806787,11.91836021,74.6361587,18.49206494,105.5527771,483.6132134,127.6009189,0.373138999,1,18.63558388,0,1,18.63558388,0,1.000002455,18.63558815,7.43E-06,1.430280962,18.11094126,18.32854648,11.91836021,12.95300269,90.18471703,1,60,0,84.85281374,0,0,0,1,60,0,84.85281374,0,2.75E-126,0,1,60,6.74E-07,84.85281374,4.55E-13,-8.15E-41,0,1.118078905,60,9.54E-07,84.85281374,9.09E-13,-7.07E-30,0,7.327852527,60,1.35E-06,84.85281374,1.82E-12,-5.18E-29,0,1
48264,3.996855248,101.9999994,2.54E-06,3.99830347,101.9998087,0.000764991,4.056977928,101.9432017,0.223967024,5.320873519,100.5297848,35.08054037,30.00417671,94.7670755,222.5309116,3.996855248,101.9999994,2.54E-06,3.99830347,101.9998087,0.000764991,4.056977928,101.9432017,0.223967024,5.320873519,100.5297848,35.08054037,30.00417671,94.7670755,222.5309116,1,102,0,144.2497834,0,0,0,1,102,0,144.2497834,0,0,0,1,102,0,144.2497834,0,2.66E-147,0,1.071701104,102,0,144.2497834,3.64E-12,-2.31E-29,0,4.219420464,102,1.35E-06,144.2497834,1.82E-12,1.57E-28,0,1,39.01786494,0,1,39.01786494,0,1,39.01786494,4.55E-13,1.071701104,39.01764281,0.000236326,4.219420464,39.02446812,0.023968851,1,102,0,144.2497834,0,0,0,1,102,0,144.2497834,0,0,0,1,102,0,144.2497834,0,2.66E-147,0,1.071701104,102,0,144.2497834,3.64E-12,-2.31E-29,0,4.219420464,102,1.35E-06,144.2497834,1.82E-12,1.57E-28,0,1
101766,150.838655,92.47793923,15071.08586,249.7668633,87.26962721,10878.68665,761.154101,79.61773275,4626.012933,7438.465465,74.7359611,566.2685519,37761.97524,74.38114994,258.060506,150.838655,92.47793923,15071.08586,249.7668633,87.26962721,10878.68665,761.154101,79.61773275,4626.012933,7438.465465,74.7359611,566.2685519,37761.97524,74.38114994,258.060506,147.3760672,74,0,95.26804291,8.19E-12,-2.71E-27,0,245.4814408,74,3.44E-06,95.26804291,1.36E-11,-3.64E-27,-4.06E-16,754.7708599,73.99999941,0.002873482,95.26804245,8.26E-06,-4.05E-20,-6.30E-12,7415.708293,73.99914321,0.109518892,95.26737739,0.011994388,6.02E-17,1.82E-10,37647.81116,73.99851245,0.144303222,95.26688746,0.02082342,3.55E-16,4.33E-10,147.3760672,0.002040043,4.63E-05,245.4814408,0.002001031,3.79E-05,754.7708599,0.001922985,3.01E-05,7415.708293,171.2803104,2.57931E+11,37647.81116,19709.06684,2.96798E+13,1,74,0,95.26804291,0,0,0,1,74,0,95.26804291,0,0,0,1,74,0,95.26804291,0,0,0,1.019959644,74,0,95.26804291,0,0,0,1.676106762,74,9.54E-07,95.26804291,9.09E-13,0,0,0
29478,4.999643061,102,1.82E-12,4.999785832,102,0,4.999948181,101.9998401,0.00669811,6.108165977,98.52018395,127.272627,32.53565588,92.59860473,284.963926,4.999643061,102,1.82E-12,4.999785832,102,0,4.999948181,101.9998401,0.00669811,6.108165977,98.52018395,127.272627,32.53565588,92.59860473,284.963926,1,102,0,144.2497834,0,0,0,1,102,0,144.2497834,0,0,0,1,102,1.35E-06,144.2497834,4.07E-12,-1.28E-51,-4.96E-40,1.071211265,102,1.91E-06,144.2497834,4.07E-12,-2.37E-29,-9.23E-18,4.21902247,102,0,144.2497834,7.28E-12,-4.07E-28,0,1,39.11804295,0,1,39.11804295,0,1,39.11804295,0,1.071211265,39.1100108,0.002093641,4.21902247,39.02885226,0.069200652,1,102,0,144.2497834,0,0,0,1,102,0,144.2497834,0,0,0,1,102,1.35E-06,144.2497834,4.07E-12,-1.28E-51,-4.96E-40,1.071211265,102,1.91E-06,144.2497834,4.07E-12,-2.37E-29,-9.23E-18,4.21902247,102,0,144.2497834,7.28E-12,-4.07E-28,0,1
90585,249.182681,74.00470155,0.185589069,343.4394686,74.01006891,0.449972864,789.5339931,74.01633799,1.041655252,7611.748954,74.10786918,45.75651029,32180.2998,74.3090259,199.1444033,249.182681,74.00470155,0.185589069,343.4394686,74.01006891,0.449972864,789.5339931,74.01633799,1.041655252,7611.748954,74.10786918,45.75651029,32180.2998,74.3090259,199.1444033,249.0798732,74,1.91E-06,95.26804291,6.56E-12,3.92E-28,8.80E-17,343.0788983,74,2.52E-06,95.26804291,6.43E-12,-3.58E-29,-1.49E-17,786.991483,73.99999996,0.000720131,95.26804288,5.19E-07,5.64E-22,3.87E-13,7585.783597,73.99907067,0.114060342,95.26732105,0.013009762,1.67E-16,5.12E-10,32080.00303,73.99840863,0.149253703,95.26680681,0.022276668,-5.65E-17,-3.84E-11,249.0798732,0.001296135,9.02E-05,343.0788983,0.001522146,0.000133295,786.991483,0.001901061,0.000210193,7585.783597,853.1128348,1.28471E+12,32080.00303,27219.89608,4.09901E+13,1,74,0,95.26804291,0,0,0,1,74,0,95.26804291,0,0,0,1,74,9.54E-07,95.26804291,9.09E-13,0,0,1.028019443,74,1.35E-06,95.26804291,1.82E-12,0,0,1.699432728,74,9.54E-07,95.26804291,9.09E-13,0,0,0
91589,166.1932115,74.06954628,6.964661651,227.4330705,74.17852474,31.79515764,461.3459856,74.49595329,108.2492869,6349.306351,74.18188778,58.39724251,32118.35641,74.31894252,197.1143422,166.1932115,74.06954628,6.964661651,227.4330705,74.17852474,31.79515764,461.3459856,74.49595329,108.2492869,6349.306351,74.18188778,58.39724251,32118.35641,74.31894252,197.1143422,165.8549969,74,1.65E-06,95.26804291,3.55E-12,-9.96E-28,-4.00E-16,226.7608333,74,2.34E-06,95.26804291,5.75E-12,-1.57E-27,-5.00E-16,458.9906308,74,0.000178444,95.26804291,3.18E-08,-5.47E-23,-1.61E-13,6324.624938,73.99920103,0.105758911,95.26742231,0.011184947,1.17E-16,2.20E-10,32014.44587,73.99845759,0.146939929,95.26684484,0.021591343,5.87E-17,3.50E-11,165.8549969,0.00203193,0.000268427,226.7608333,0.002510171,0.000542264,458.9906308,0.003671408,0.002033186,6324.624938,733.4447848,1.1045E+12,32014.44587,26382.40391,3.97289E+13,1,74,0,95.26804291,0,0,0,1,74,0,95.26804291,0,0,0,1,74,0,95.26804291,0,0,0,1.021372411,74,9.54E-07,95.26804291,9.09E-13,0,0,1.680746398,74,0,95.26804291,0,0,0,0
96317,133.5513114,74.00903513,0.216761516,237.4353795,74.01872392,0.449095422,772.5757452,74.03342935,0.959390373,7025.654716,74.10872031,29.33931825,34822.96672,74.28186714,171.2789412,133.5513114,74.00903513,0.216761516,237.4353795,74.01872392,0.449095422,772.5757452,74.03342935,0.959390373,7025.654716,74.10872031,29.33931825,34822.96672,74.28186714,171.2789412,133.5010342,74,0.000217293,95.26804291,4.72E-08,-9.77E-23,-2.11E-13,237.2501225,73.99999811,0.005137304,95.26804145,2.64E-05,9.90E-20,6.09E-12,771.4980921,73.99942421,0.089781839,95.26759566,0.008060779,7.74E-17,7.38E-10,7006.217388,73.99819093,0.159134215,95.26663771,0.025323698,1.85E-16,2.87E-10,34717.39559,73.99827156,0.155547869,95.26670034,0.02419514,1.33E-16,8.05E-11,133.5010342,0.002277199,6.87E-05,237.2501225,0.002082928,5.27E-05,771.4980921,0.001883874,3.79E-05,7006.217388,361.6459211,5.44605E+11,34717.39559,22900.74475,3.4486E+13,1,74,0,95.26804291,0,0,0,1,74,0,95.26804291,0,0,0,1,74,0,95.26804291,0,0,0,1.020749428,74,0,95.26804291,0,0,0,1.678735576,74,0,95.26804291,0,0,0,0
23558,1,98,0,1,98,0,1.000000177,97.99999835,8.29E-05,2.424384203,93.961063,201.4350844,28.55243234,93.09567696,266.5000907,1,98,0,1,98,0,1.000000177,97.99999835,8.29E-05,2.424384203,93.961063,201.4350844,28.55243234,93.09567696,266.5000907,1,98,0,114.9086597,2.12E-05,1.31E-87,0,1,98,0,114.9089598,0.021859818,2.25E-51,0,1.000000057,97.99999787,0.008999765,115.2142003,21.8179046,-6.52E-14,-1.55E-12,1.496934719,88.98041296,16.16760208,113.7359921,393.711958,0.508790355,0.001834041,10.84470052,78.55655599,18.99474542,109.7073683,506.2817828,62.92521119,0.175781941,1,25.06753898,0,1,25.06753898,0,1.000000057,25.06753771,2.90E-05,1.496934719,20.12907569,99.6546509,10.84470052,14.36005025,116.5979497,1,98,0,138.5929291,0,0,0,1,98,0,138.5929291,0,0,0,1.000000001,98,0,138.5929291,1.82E-12,5.05E-155,0,1.141625956,98,0,138.5929291,0,3.43E-100,0,5.295754302,98,1.35E-06,138.5929291,4.07E-12,-1.80E-29,-7.00E-18,1
4035,3.989778635,102,1.82E-12,3.993854932,102,1.63E-09,3.998689354,101.999258,0.002967662,5.091901773,100.1063098,59.37347594,30.94922174,93.34587878,264.3201688,3.989778635,102,1.82E-12,3.993854932,102,1.63E-09,3.998689354,101.999258,0.002967662,5.091901773,100.1063098,59.37347594,30.94922174,93.34587878,264.3201688,1,102,0,144.2497834,0,0,0,1,102,0,144.2497834,0,0,0,1,102,0,144.2497834,1.82E-12,-2.56E-183,0,1.071690722,102,0,144.2497834,1.82E-12,6.65E-33,0,4.22043793,102,1.35E-06,144.2497834,2.57E-12,-1.58E-29,-8.69E-18,1,39.01948905,0,1,39.01948905,0,1,39.01948905,4.55E-13,1.071690722,39.01958591,5.94E-05,4.22043793,39.01370978,0.036846378,1,102,0,144.2497834,0,0,0,1,102,0,144.2497834,0,0,0,1,102,0,144.2497834,1.82E-12,-2.56E-183,0,1.071690722,102,0,144.2497834,1.82E-12,6.65E-33,0,4.22043793,102,1.35E-06,144.2497834,2.57E-12,-1.58E-29,-8.69E-18,1
27484,1.997124501,102,1.82E-12,1.998273707,102,4.76E-09,1.999604945,101.996307,0.154682263,3.19563235,95.26374555,221.4020537,27.77354642,93.88052669,248.0535266,1.997124501,102,1.82E-12,1.998273707,102,4.76E-09,1.999604945,101.996307,0.154682263,3.19563235,95.26374555,221.4020537,27.77354642,93.88052669,248.0535266,1,102,0,144.2497834,0,0,0,1,102,0,144.2497834,0,0,0,1,102,1.35E-06,144.2497834,4.07E-12,1.53E-39,5.96E-28,1.075214941,102,1.35E-06,144.2497834,1.82E-12,-1.54E-37,0,4.223460261,102,1.35E-06,144.2497834,2.57E-12,-4.65E-29,-2.55E-17,1,38.27842093,0,1,38.27842093,0,1,38.27842093,6.37E-12,1.075214941,38.37924609,0.137452071,4.223460261,38.98232656,0.230466305,1,102,0,144.2497834,0,0,0,1,102,0,144.2497834,0,0,0,1,102,1.35E-06,144.2497834,4.07E-12,1.53E-39,5.96E-28,1.075214941,102,1.35E-06,144.2497834,1.82E-12,-1.54E-37,0,4.223460261,102,1.35E-06,144.2497834,2.57E-12,-4.65E-29,-2.55E-17,1
